Rank,Player,Team,Position(s),ADP,Min Pick,Max Pick,Difference,# Picks,Team,Team Pick
399,"Jimenez, Joe",DET,P,443.97,277,519,,107,,
400,"Strahm, Matt",SD,P,447.76,274,584,,116,,
401,"Bour, Justin",LAA,1B,449.27,319,616,,123,,
402,"Kelly, Carson",ARZ,C,453.33,276,685,,122,,
403,"Brinson, Lewis",MIA,OF,453.83,336,498,,114,,
404,"Hirano, Yoshihisa",ARZ,P,454.58,275,549,,112,,
405,"Pina, Manny",MLW,C,455.24,270,567,,116,,
406,"Diaz, Aledmys",HOU,"SS, 3B",456.81,305,477,,110,,
407,"Samardzija, Jeff",SF,P,458.1,256,575,,112,,
408,"Reddick, Josh",HOU,OF,460.05,290,513,,114,,
409,"Ahmed, Nick",ARZ,SS,460.1,326,531,,117,,
410,"Lugo, Seth",NYM,P,461.54,303,550,,118,,
411,"Diaz, Yandy",TB,3B,461.61,284,571,,112,,
412,"Williams, Nick",PHI,OF,463.34,295,544,,117,,
413,"Munoz, Yairo",STL,"2B, 3B, SS, OF",464.5,306,490,,110,,
414,"Duffy, Matt",TB,3B,465.75,249,549,,118,,
415,"Alcantara, Sandy",MIA,P,466.11,289,552,,110,,
416,"Giolito, Lucas",CWS,P,468.21,250,587,,124,,
417,"Cespedes, Yoenis",NYM,OF,469.67,285,609,,112,,
418,"Rodgers, Brendan",COL,SS,471.54,173,611,,112,,
419,"Kela, Keone",PIT,P,473.3,280,506,,110,,
420,"Pujols, Albert",LAA,1B,473.98,282,557,,115,,
